grade,purpose,Loans,Funded_Amount,Total_Repaid,Outstanding_Principal,Recoveries,Charged_Off_Rate,Bad_Loan_Rate,Delinquency_Rate,At_Risk_Outstanding,Avg_Interest_Rate,LRR,Funded_Crores,Outstanding_Crores,At_Risk_Outstanding_Crores
A,car,1082,9675175.0,3366441.28,6822052.06,0.0,0.0,0.0,0.6469500924214419,51351.66,7.109343807763402,34.794629347789574,0.9675175,0.682205206,0.005135166
A,credit_card,40374,617762950.0,201780124.94,447508578.29,0.0,0.0,0.0,0.8768019022142963,3202519.05,7.063856194580671,32.6630344115004,61.776295,44.750857829000005,0.320251905
A,debt_consolidation,52040,780335825.0,262987544.73,558786740.78,0.0,0.0,0.0,1.028055342044581,5090479.35,7.209858570330515,33.70184173333321,78.0335825,55.878674077999996,0.509047935
A,home_improvement,6454,84446525.0,26691816.54,61881279.99,0.0,0.0,0.0,0.914161760148745,546741.48,7.026389835760768,31.607951351461764,8.4446525,6.188127999,0.054674148
A,house,68,1018575.0,610492.71,495215.82,0.0,0.0,0.0,0.0,0.0,7.4411764705882355,59.93596053309771,0.1018575,0.049521582,0.0
A,major_purchase,1980,22433975.0,7082237.39,16425575.35,0.0,0.0,0.0,0.8080808080808081,117787.17,7.0090252525252525,31.56924882906395,2.2433975,1.642557535,0.011778717
A,medical,375,3775300.0,915160.12,3011636.21,0.0,0.0,0.0,1.0666666666666667,8956.61,7.22752,24.240725770137473,0.37753,0.301163621,0.0008956610000000001
A,moving,55,669250.0,189126.22,511140.2,0.0,0.0,0.0,0.0,0.0,7.546363636363637,28.25942771759432,0.066925,0.05111402,0.0
A,other,1600,17393400.0,4561074.59,13587300.68,0.0,0.0,0.0,0.75,71609.57,7.31669375,26.223019018708243,1.73934,1.358730068,0.007160957000000001
A,renewable_energy,6,60250.0,12842.95,49755.829999999994,0.0,0.0,0.0,0.0,0.0,7.701666666666667,21.316099585062243,0.006025,0.004975583,0.0
A,small_business,101,1625425.0,551186.29,1163238.44,0.0,0.0,0.0,0.0,0.0,7.6066336633663365,33.910287463278834,0.1625425,0.116323844,0.0
A,vacation,176,1290000.0,319793.95,1023339.88,0.0,0.0,0.0,2.272727272727273,20854.2,7.347784090909091,24.790228682170543,0.129,0.102333988,0.00208542
A,wedding,2,16000.0,18384.72,1019.71,0.0,0.0,0.0,0.0,0.0,7.890000000000001,114.90450000000001,0.0016,0.000101971,0.0
B,car,1560,13472375.0,4969608.88,9657105.19,0.0,0.0,0.0,1.4743589743589742,147921.5,10.451910256410256,36.88740017999796,1.3472375,0.9657105189999999,0.01479215
B,credit_card,53391,793310425.0,267098384.5,590650985.67,0.0,0.0,0.0,1.843007248412654,8790396.53,10.417354797625068,33.66883581543757,79.3310425,59.06509856699999,0.879039653
