purpose,Loans,Funded_Amount,Total_Repaid,Outstanding_Principal,Recoveries,Charged_Off_Rate,Bad_Loan_Rate,Delinquency_Rate,At_Risk_Outstanding,Avg_Interest_Rate,LRR,Funded_Crores,Outstanding_Crores,At_Risk_Outstanding_Crores
car,5062,49070775.0,16967616.12,37051965.34,0.0,0.0,0.0,2.4693796918214144,1150301.95,12.273828526274201,34.577844185260986,4.9070775,3.705196534,0.115030195
credit_card,153462,2426972325.0,808333212.0574373,1851430989.17,0.0,0.0,0.0,2.3634515384916135,42102778.15,11.43822763941562,33.30623937203063,242.6972325,185.143098917,4.2102778149999995
debt_consolidation,369166,5850040575.0,2000613861.8592064,4528101132.1,0.0,0.0,0.0,3.501676752463662,156039463.03,13.414482292518812,34.19829035731443,585.0040575,452.81011321000005,15.603946303
educational,1,2200.0,651.81,1718.83,0.0,0.0,0.0,0.0,0.0,11.53,29.627727272727274,0.00022,0.00017188299999999998,0.0
home_improvement,36146,528624250.0,175626310.68,411743177.9,0.0,0.0,0.0,3.225806451612903,14721925.88,12.990749183865434,33.223279234730526,52.862425,41.174317789999996,1.4721925880000002
house,1967,28524625.0,11568936.33999429,21266325.85,0.0,0.0,0.0,5.744789018810372,1233121.22,17.148703609557703,40.5577157981719,2.8524625,2.1266325850000003,0.123312122
major_purchase,10691,134250100.0,44121438.89,104442797.97,0.0,0.0,0.0,3.58245253016556,4287937.0,12.914779721260874,32.86510690867269,13.42501,10.444279797,0.4287937
medical,5522,50905350.0,17109346.11877864,39794015.14,0.0,0.0,0.0,3.5856573705179287,1527580.76,14.549275624773633,33.61011390507803,5.090535,3.979401514,0.152758076
moving,3277,26606275.0,9488970.09,20516234.88,0.0,0.0,0.0,4.760451632590784,1129097.07,16.13121147390906,35.66440657326138,2.6606275,2.0516234879999997,0.11290970700000001
other,27648,282510525.0,100765516.05,217976913.66,0.0,0.0,0.0,3.7651909722222223,8723156.5,15.095746889467593,35.667880355961955,28.2510525,21.797691366,0.87231565
renewable_energy,299,3063425.0,1108750.45,2355746.77,0.0,0.0,0.0,5.68561872909699,149492.26,16.566153846153846,36.19316451357549,0.3063425,0.235574677,0.014949226000000001
small_business,5339,84081650.0,35848173.14,62007563.41,0.0,0.0,0.0,5.974901666978835,3908799.61,17.22495411125679,42.63495440443902,8.408165,6.200756341,0.390879961
vacation,3064,20080925.0,7067561.04,15316687.72,0.0,0.0,0.0,3.851174934725848,817509.0599999999,14.462594647519582,35.19539582962438,2.0080925,1.531668772,0.081750906
wedding,336,3936975.0,4157646.59,1269659.3,0.0,0.0,0.0,3.273809523809524,60213.47,18.44157738095238,105.60510518862831,0.3936975,0.12696593,0.006021347
