sub_grade,Loans,Funded_Amount,Total_Repaid,Outstanding_Principal,Recoveries,Charged_Off_Rate,Bad_Loan_Rate,Delinquency_Rate,At_Risk_Outstanding,Avg_Interest_Rate,LRR,Funded_Crores,Outstanding_Crores,At_Risk_Outstanding_Crores
A1,5870,67052675.0,69894036.23712026,0.0,117128.04,3.0834752981260647,3.0834752981260647,0.0,0.0,5.964281090289608,104.23750616529506,6.7052675,0.0,0.0
A2,6208,69307750.0,72045157.73671429,60047.969999999994,103552.823437343,4.461984536082475,4.558634020618556,0.0,0.0,6.5335679768041235,103.94964161542437,6.930775,0.006004796999999999,0.0
A3,7180,87144500.0,91409037.58710484,58322.58,200956.92,5.557103064066853,5.654596100278551,0.0,0.0,7.3904247910863505,104.8936394001972,8.71445,0.005832258,0.0
A4,11069,137013875.0,142880415.92417106,100844.0,398421.31,7.037672779835577,7.137049417291536,0.0,0.0,7.76775318456952,104.28171301933548,13.7013875,0.0100844,0.0
A5,12016,155403800.0,161597236.23304218,291763.36,566054.54184393,8.164114513981357,8.355525965379494,0.0,0.0,8.600766478029295,103.98538274678108,15.54038,0.029176335999999997,0.0
B1,12125,146810525.0,152556134.3186347,231331.46,686108.94,10.004123711340206,10.243298969072164,0.0,0.0,9.694027216494845,103.91362221382607,14.6810525,0.023133146,0.0
B2,14654,184686650.0,193238565.9506192,245763.73,1034077.0631,10.870752013102225,11.04817797188481,0.0,0.0,10.676248805786816,104.63050033698656,18.468665,0.024576373000000002,0.0
B3,18106,221361150.0,232221310.35995278,284626.24,1480275.39848514,12.476527118082403,12.686402297580912,0.0,0.0,11.618549652049044,104.90608237260818,22.136115,0.028462624,0.0
B4,16992,215130975.0,224083298.62447786,586965.45,1639024.16,13.671139359698682,14.018361581920905,0.0,0.0,12.386834392655366,104.16133642516047,21.5130975,0.058696544999999996,0.0
B5,14386,175015975.0,181284605.61448336,357947.31,1371994.0,14.813012651188656,15.132767968858612,0.0,0.0,12.926732934797721,103.58174767445279,17.5015975,0.035794730999999996,0.0
C1,15023,188112025.0,193011407.24100152,573405.3,1694919.233287037,16.527990414697463,16.954003860746855,0.0,0.0,13.540714903814152,102.60450241870582,18.8112025,0.05734053000000001,0.0
C2,14419,183820525.0,188055700.38058794,714666.28,1763826.38812578,17.55322837922186,18.09418128857757,0.0,0.0,14.155902628476316,102.30397306317558,18.3820525,0.071466628,0.0
C3,12854,172523125.0,172616316.46373314,787862.43,2019706.32,19.84596234635133,20.437217986618954,0.0,0.0,14.68459779057103,100.05401679556473,17.2523125,0.078786243,0.0
C4,12126,168130550.0,166996903.24325177,784344.1,2030706.5431133,21.14464786409368,21.721919841662544,0.0,0.0,15.255745505525319,99.32573422453669,16.813055,0.07843441,0.0
C5,11258,158198075.0,155549803.5053316,713241.58,2234570.07,22.32190442352105,22.96144963581453,0.0,0.0,15.93779179250311,98.32597742123703,15.8198075,0.071324158,0.0
D1,10109,137374450.0,134570707.992867,738204.38,2071287.00560514,23.42467108517163,24.047878128400434,0.0,0.0,16.63282025917499,97.95905133222881,13.737445,0.073820438,0.0
D2,9125,121729025.0,119266852.15105833,919482.15,1771607.98089118,24.876712328767123,25.687671232876713,0.0,0.0,17.212323287671232,97.977332974661,12.1729025,0.091948215,0.0
D3,8042,112331100.0,109664190.90065165,674559.83,1755177.01406068,25.366824173091274,26.00099477741855,0.0,0.0,17.663660780900273,97.62584974299338,11.23311,0.067455983,0.0
D4,7454,112088225.0,107162691.52629907,902565.71,1940901.53145424,27.97155889455326,28.910651998926753,0.0,0.0,18.206265092567747,95.60566377627897,11.2088225,0.090256571,0.0
D5,6088,95969950.0,91754311.08975206,742121.27,1953116.93,28.30157687253614,29.18856767411301,0.0,0.0,18.80615965834428,95.60733447266782,9.596995,0.074212127,0.0
E1,4753,80418575.0,76226010.6663987,593009.23,1514903.81562583,28.88701872501578,29.896907216494846,0.0,0.0,19.188422049232063,94.78657221468883,8.0418575,0.059300923,0.0
E2,4584,78957125.0,73865019.52874143,634370.9,1750071.88,32.30802792321117,33.35514834205934,0.0,0.0,19.902857766143107,93.55079675044074,7.8957125,0.06343709,0.0
E3,3844,67721225.0,63266310.09147469,670933.71,1511967.59,32.232049947970864,33.45473465140479,0.0,0.0,20.452049947970863,93.42168587687935,6.7721225,0.067093371,0.0
E4,3357,61556050.0,57418007.84118039,433076.24,1551645.48,34.01846887101579,34.941912421805185,0.0,0.0,21.169445933869525,93.27760283705727,6.155605,0.043307623999999996,0.0
E5,2849,51841125.0,47488940.63222036,474257.31,1392246.8275657,35.907335907335906,36.85503685503686,0.0,0.0,21.85083889083889,91.60476481214549,5.1841125,0.047425731,0.0
F1,2253,41809575.0,39350285.48658025,349918.65,1103875.55883846,34.17665335108744,35.19751442521083,0.0,0.0,22.628224589436307,94.11787966412061,4.1809575,0.034991865000000004,0.0
F2,1757,33468050.0,31015745.10902549,191343.31,963320.35,35.85657370517929,36.59647125782584,0.0,0.0,23.133505976095616,92.67269861562143,3.346805,0.019134331,0.0
F3,1560,28923000.0,25917540.17786508,375652.06,933182.03,39.48717948717949,41.08974358974359,0.0,0.0,23.744679487179486,89.60875489356249,2.8923,0.037565206,0.0
F4,1201,23663325.0,20696311.68542086,146706.53,771889.34,41.29891756869276,42.048293089092425,0.0,0.0,24.08592839300583,87.4615536295971,2.3663325,0.014670653,0.0
F5,968,20005825.0,17701253.24675374,134159.63,697103.04,43.595041322314046,44.52479338842975,0.0,0.0,24.518512396694213,88.48049628922446,2.0005825,0.013415963000000001,0.0
G1,694,14624650.0,13280407.4171807,100752.57,512418.0,41.930835734870314,42.79538904899135,0.0,0.0,24.893314121037463,90.80837775386557,1.462465,0.010075257,0.0
